Loading model ...

Making model...
Loading data info ...

testsets/Urban100/img_001.png input 8.89, PSNR 42.64 SSIM 0.991439
testsets/Urban100/img_002.png input 6.83, PSNR 40.11 SSIM 0.989867
testsets/Urban100/img_003.png input 8.90, PSNR 33.03 SSIM 0.953536
testsets/Urban100/img_004.png input 8.94, PSNR 42.49 SSIM 0.993936
testsets/Urban100/img_005.png input 8.34, PSNR 43.89 SSIM 0.994706
testsets/Urban100/img_006.png input 9.59, PSNR 41.38 SSIM 0.994997
testsets/Urban100/img_007.png input 6.79, PSNR 42.27 SSIM 0.992236
testsets/Urban100/img_008.png input 6.99, PSNR 37.01 SSIM 0.989594
testsets/Urban100/img_009.png input 4.99, PSNR 42.11 SSIM 0.986452
testsets/Urban100/img_010.png input 4.05, PSNR 42.18 SSIM 0.986739
testsets/Urban100/img_011.png input 6.42, PSNR 48.99 SSIM 0.999447
testsets/Urban100/img_012.png input 8.20, PSNR 34.00 SSIM 0.976447
testsets/Urban100/img_013.png input 7.47, PSNR 39.21 SSIM 0.979223
testsets/Urban100/img_014.png input 6.88, PSNR 39.62 SSIM 0.993220
testsets/Urban100/img_015.png input 8.93, PSNR 35.76 SSIM 0.977262
testsets/Urban100/img_016.png input 9.21, PSNR 45.34 SSIM 0.996144
testsets/Urban100/img_017.png input 6.58, PSNR 39.63 SSIM 0.992806
testsets/Urban100/img_018.png input 8.58, PSNR 33.39 SSIM 0.964225
testsets/Urban100/img_019.png input 7.81, PSNR 31.29 SSIM 0.947725
testsets/Urban100/img_020.png input 5.97, PSNR 36.82 SSIM 0.991427
testsets/Urban100/img_021.png input 6.48, PSNR 43.53 SSIM 0.995992
testsets/Urban100/img_022.png input 13.00, PSNR 39.06 SSIM 0.991168
testsets/Urban100/img_023.png input 10.21, PSNR 38.81 SSIM 0.987688
testsets/Urban100/img_024.png input 6.09, PSNR 39.73 SSIM 0.995688
testsets/Urban100/img_025.png input 7.59, PSNR 43.68 SSIM 0.987451
testsets/Urban100/img_026.png input 5.98, PSNR 36.44 SSIM 0.955061
testsets/Urban100/img_027.png input 9.32, PSNR 44.27 SSIM 0.995021
testsets/Urban100/img_028.png input 9.32, PSNR 58.16 SSIM 0.999799
testsets/Urban100/img_029.png input 5.51, PSNR 40.30 SSIM 0.987752
testsets/Urban100/img_030.png input 7.08, PSNR 34.51 SSIM 0.984507
testsets/Urban100/img_031.png input 10.22, PSNR 34.64 SSIM 0.984311
testsets/Urban100/img_032.png input 5.64, PSNR 40.43 SSIM 0.989623
testsets/Urban100/img_033.png input 7.69, PSNR 39.89 SSIM 0.984065
testsets/Urban100/img_034.png input 7.39, PSNR 28.08 SSIM 0.924546
testsets/Urban100/img_035.png input 6.08, PSNR 42.30 SSIM 0.987592
testsets/Urban100/img_036.png input 8.70, PSNR 58.25 SSIM 0.999889
testsets/Urban100/img_037.png input 5.98, PSNR 39.26 SSIM 0.987595
testsets/Urban100/img_038.png input 8.65, PSNR 35.01 SSIM 0.943083
testsets/Urban100/img_039.png input 5.36, PSNR 35.23 SSIM 0.979406
testsets/Urban100/img_040.png input 6.63, PSNR 46.61 SSIM 0.998179
testsets/Urban100/img_041.png input 7.23, PSNR 39.95 SSIM 0.991719
testsets/Urban100/img_042.png input 5.13, PSNR 58.44 SSIM 0.999905
testsets/Urban100/img_043.png input 7.10, PSNR 40.90 SSIM 0.984202
testsets/Urban100/img_044.png input 9.16, PSNR 42.82 SSIM 0.989970
testsets/Urban100/img_045.png input 7.29, PSNR 55.21 SSIM 0.999894
testsets/Urban100/img_046.png input 6.25, PSNR 37.00 SSIM 0.989856
testsets/Urban100/img_047.png input 6.72, PSNR 37.51 SSIM 0.992644
testsets/Urban100/img_048.png input 7.49, PSNR 40.91 SSIM 0.996290
testsets/Urban100/img_049.png input 7.14, PSNR 34.74 SSIM 0.980936
testsets/Urban100/img_050.png input 5.65, PSNR 35.29 SSIM 0.982077
testsets/Urban100/img_051.png input 7.50, PSNR 40.32 SSIM 0.986351
testsets/Urban100/img_052.png input 5.40, PSNR 45.82 SSIM 0.993961
testsets/Urban100/img_053.png input 5.94, PSNR 41.22 SSIM 0.996203
testsets/Urban100/img_054.png input 6.36, PSNR 37.30 SSIM 0.989801
testsets/Urban100/img_055.png input 7.65, PSNR 40.56 SSIM 0.977854
testsets/Urban100/img_056.png input 6.52, PSNR 39.52 SSIM 0.990696
testsets/Urban100/img_057.png input 9.37, PSNR 43.30 SSIM 0.993341
testsets/Urban100/img_058.png input 7.83, PSNR 40.71 SSIM 0.995207
testsets/Urban100/img_059.png input 6.09, PSNR 42.90 SSIM 0.996357
